Designator,Mid X,Mid Y,Rotation,Layer
C0,17.5,-6.5,270.0,bottom
C1,42.45,-6.3,270.0,bottom
C2,67.35,-6.55,270.0,bottom
C3,93.525,-9.0,0.0,bottom
C4,17.75,-32.025,90.0,bottom
C5,42.9,-32.025,90.0,bottom
C6,68.05,-32.025,90.0,bottom
C7,93.0,-32.025,90.0,bottom
D0,12.5,-7.255,0.0,bottom
D1,37.5,-7.255,0.0,bottom
D2,62.5,-7.265,0.0,bottom
D3,87.5,-7.255,0.0,bottom
D4,12.5,-32.315,0.0,bottom
D5,37.5,-32.315,0.0,bottom
D6,62.5,-32.325,0.0,bottom
D7,87.5,-32.325,0.0,bottom
J1,49.4625,-25.0,180.0,bottom
J2,24.5025,-25.0,180.0,bottom
J3,74.4625,-24.96,180.0,bottom
J4,50.0,-43.235,0.0,bottom
SW0,12.5,-12.5,0.0,top
SW1,37.5,-12.5,0.0,top
SW2,62.5,-12.5,0.0,top
SW3,87.5,-12.5,0.0,top
SW4,12.5,-37.49,0.0,top
SW5,37.5,-37.49,0.0,top
SW6,62.5,-37.5,0.0,top
SW7,87.5,-37.5,0.0,top
